filename,text,label
account_management_1.pdf,Account closure request received,Account Management
loan_approval_6.pdf,Education loan processed,Loan Approval
account_management_6.pdf,Customer account activation completed,Account Management
dispute_form_8.pdf,Customer filed transaction dispute,Dispute Form
loan_approval_3.pdf,Personal loan sanctioned,Loan Approval
account_management_2.pdf,User requested account statement,Account Management
dispute_form_2.pdf,Unauthorized transaction reported,Dispute Form
dispute_form_9.pdf,Fraudulent transaction dispute reported,Dispute Form
dispute_form_7.pdf,Disputed chargeback initiated,Dispute Form
loan_approval_10.pdf,Customer's loan request successfully processed,Loan Approval
account_management_5.pdf,Bank account management request processed,Account Management
account_management_7.pdf,Account deactivation request handled,Account Management
dispute_form_5.pdf,Dispute regarding failed transaction,Dispute Form
dispute_form_1.pdf,Credit card dispute raised,Dispute Form
account_management_10.pdf,Online banking access granted,Account Management
dispute_form_6.pdf,Billing error dispute form submitted,Dispute Form
account_management_8.pdf,Customer requested account freeze,Account Management
loan_approval_7.pdf,Vehicle loan successfully granted,Loan Approval
loan_approval_9.pdf,Loan approved after credit check,Loan Approval
loan_approval_5.pdf,Loan modification request approved,Loan Approval
loan_approval_2.pdf,Home loan request approved,Loan Approval
account_management_9.pdf,Account password reset request completed,Account Management
loan_approval_1.pdf,Loan application approved successfully,Loan Approval
loan_approval_8.pdf,Loan for small business approved,Loan Approval
loan_approval_4.pdf,Mortgage loan approved,Loan Approval
dispute_form_10.pdf,Cardholder transaction dispute received,Dispute Form
account_management_3.pdf,Account information updated,Account Management
account_management_4.pdf,Request to change account details,Account Management
dispute_form_3.pdf,Transaction refund dispute filed,Dispute Form
dispute_form_4.pdf,Debit card charge disputed,Dispute Form
